name,id,tier,rarity,tech/manufacturer,tags,uiTags,base value,unlocked,hidden,hiddenEverywhere,cost_frigate,cost_dest,cost_cruiser,cost_capital,script,desc,short,sprite
increased explosion,increased_explosion,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.IncreasedExplosion,Increased explosion radius and damage.,,graphics/hullmods/reduced_explosion.png
Scrappin,ork_redfasta,,,,,,,,TRUE,TRUE,0,0,0,0,data.hullmods.ork_redfasta,"Due to their love for battle, orks will begin fighting even harder as their ship takes damage.",,graphics/hullmods/red_fasta.png
Degraded Targeting Core,degradedcore,,,,,,,,TRUE,,0,0,0,0,data.hullmods.DegradedTargetingCore,"Salvaged from the corpse of a paragon, this targeting core has lost it's peak abilities, but is nonetheless very powerful.

Extends the range of ballistic and energy weapons by %s. The range of point-defense weapons is only extended by %s.

Precludes the installation of a Dedicated Targeting Core or an Integrated Targeting Unit.",Greatly extends non-missile weapon range.,graphics/hullmods/degraded_targeting_core.png
Bultach Construction,ork_rugged,,,,,,,,TRUE,,0,0,0,0,data.hullmods.ork_rugged,"Made by the Bultach Coalition to last many battles, their ships are exceptionally easy to recover even after being destroyed in combat.",Ship almost always recoverable if lost.,graphics/hullmods/junk_construction.png
Low Maintenance,Ork_low_Maintenance,,,Bultach Coalition,,,,,TRUE,,0,0,0,0,data.hullmods.Ork_low_Maintenance,Decreases the monthly maintenance supply cost by %s.,Decreases maintenance cost.,graphics/hullmods/low_maintenance.png
Bultach shields Changer,BT_shieldsChanger,0,,Bultach Coalition,defensive,0,,,TRUE,TRUE,0,0,0,0,data.hullmods.BT_shieldsChanger,,Shield Changer,graphics/hullmods/low_maintenance.png
,,,,,,,,,,,,,,,,,,
Shockwave Negating Armor,BT_antiNuke,1,,Bultach Coalition,defensive,,5000,,,,4,9,15,22,data.hullmods.BT_antiNuke,"An expensive, thorough upgrade to the ship's armor in order to let it better resist explosions or impacts of particularly massive size. Singular impacts dealing above 4000 damage will be negated by 70 percent. Often used when facing targets using doomsday weapons, as it offers no other benefits whatsoever.",Decreases single-hit damage above 4000 by 70 percent.,graphics/hullmods/reduced_explosion.png
,,,,,,,,,,,,,,,,,,
Ramming Suite,bt_ramming_suite,,,Bultach Coalition,defensive,,,,TRUE,,0,0,0,0,data.hullmods.bt_ramming_suite,"A robust, protective design standard of the Bultach Coalition's ramming vessels. Reduces casualties in combat by %s. If disabled or destroyed in combat, the ship has a %s chance to avoid new d-mods, and is almost always recoverable after the battle.

In addition, the supply cost to recover from deployment - and to effect repairs if the ship is disabled - is reduced by %s.","Prevents crew casualties, almost always able to be recovered.",graphics/hullmods/bt_ramming_suite.png
,,,,,,,,,,,,,,,,,,
Extensive Missile Racks,ExtensiveMissileRacks,,,,,Weapons,,,TRUE,,0,0,0,0,data.hullmods.ExtensiveMissileRacks,"Due to this salvage sporeship's vast hull, a massive amount of missiles can be stored. Increases the ammo capacity of missile weapons by %s.",Massively increases missile weapon ammo.,graphics/hullmods/expanded_missile_racks.png
