id,trigger,conditions,script,text,options,notes
# UAF Fleet Greeting Lines,,,,,,
greetingUAFFriendly,OpenCommLink,"$faction.id == uaf
$faction.friendlyToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""UAF-type DNS Code received and confirmed over secured channel, greetings $playerName - I bid you good luck and fair sea.""",,
greetingUAFHostileWeaker,OpenCommLink,"$faction.id == uaf
$entity.isHostile
$entity.relativeStrength < 0",$entity.ignorePlayerCommRequests = true 1,"""Send out the signal and call for reinforcement! We may not be enough to bring you down, but the next one will. For the Queen!""",cutCommLink:Cut the comm link,
greetingUAFHostileWeakerDefiant,OpenCommLink,"$faction.id == uaf
$entity.isHostile
$entity.relativeStrength < 0
$entity.weakerThanPlayerButHolding",$entity.ignorePlayerCommRequests = true 1,"""The Auroran Navy does not surrender that easily, we will fight you to the very end. For the brighter future that the Queen promised to all of us!""",cutCommLink:Cut the comm link,
greetingUAFHostileStronger,OpenCommLink,"$faction.id == uaf
$entity.isHostile
$entity.relativeStrength >= 0",$entity.ignorePlayerCommRequests = true 1,"""Attention, hostile fleet - you are outnumbered and cannot win this fight. Surrender immediately or face the might of the Aurorian Navy.""",cutCommLink:Cut the comm link,
greetingUAFNeutral,OpenCommLink,"$faction.id == uaf
$faction.neutralToPlayer","$menuState = fleetConvMain 0
FireAll PopulateOptions","""Domain-type AIS Code confirmed, this is $personRank $personName of the Aurorian Federation - state your intentions and send over transmission, over.""",,
,,,,,,
#Nia Auora,,,,,,
cmsn_meetsCriteria_uaf,DialogOptionSelected,"$option == cmsn_askCommission
$faction.id == uaf
Commission playerMeetsCriteria
!UAFCommission IsRandomSector",FireAll CMSNAskNia,,"0:cutCommLinkPolite:""Thanks for the recommendation, $PersonRank""",
,,,,,,
UAFCMSNAskNia,CMSNAskNia,$faction.id == uaf,"$player.hasUAFRecommendation = true
UAFRecommendation SetRecommendation
AddTextSmall ""You received recommendation from $PersonRank $personLastName""","""Ah, I see - you're certainly qualified to participate in our program according to your most recent contribution and friendly actions towards our cause. I'm sure the Queen would be pleased to know there's a local Domain starship captain who wished to serve and assist her."" 

""If you are interested in having a UAF Commission, you can go to ""Aurora Diplomatic Bureau"" in Vermilion Station and issue the commission permit from there. You'll have my recommendation.""

",,
UAFCMSNAskNiaAlso,CMSNAskNia,"$faction.id == uaf
$market.id == uaf_eva_station_market",,"""One last thing, you might want to get a cake down in the station market as a gift to The Bureau's Admin, she would appreciate that.""",,
CMSNTextRejectHostile_uaf,CMSNTextRejectHostile,"$faction.id == uaf
$id == uaf_niaauroria",,"""You do realize that we are known for out vast Intelligence network right? And that there is no way we wouldn't be aware of your are against $TheFaction right?""",,
CMSNTextHasOther_uaf,CMSNTextHasOther,"$faction.id == uaf
$id == uaf_niaauroria",,"""Your file mention a current association with $theOtherCommissionFaction, and frankly there is no way we would ever work with someone that has such obvious ties to another authority.""",,
CMSNTextUnsuited_uaf,CMSNTextUnsuited,"$faction.id == uaf
$id == uaf_niaauroria",,"""While expanding our network of collaborators is of utmost importance to $TheFaction, we cannot allow individuals we do not fully trust in our ranks.""",,
CMSNTextSuitedPart1_uaf,CMSNTextSuitedPart1,"$faction.id == uaf
$id == uaf_niaauroria",,"""Ah, I see - you're certainly qualified to participate in our program according to your most recent contribution and friendly actions towards our cause. I'm sure the Queen would be pleased to know there's a local Domain starship captain who wished to serve and assist her."" ",,
CMSNTextSuitedPart2_uaf,CMSNTextSuitedPart2,"$faction.id == uaf
$id == uaf_niaauroria",,"""However, due to our 'out-of-this-sector' nature - the local politics and relations might change at anytime which will affect you as well. You will receive our standard monthly stipent and accessibility to our facilities throughout the sector.""",,
CMSNTextWelcomePart1_uaf,CMSNTextWelcomePart1,"$faction.id == uaf
$id == uaf_niaauroria",,"""Splendid! Welcome to the UAF and thank you for joining us. In return, you will be given access to our more military facilities and equipment stockpiles. Please help yourselves to our quartermasters for further enquiries."" ",,
CMSNTextWelcomePart2_uaf,CMSNTextWelcomePart2,"$faction.id == uaf
$id == uaf_niaauroria",,"""Ah hold on, I've received a message.. Aeria Charlotte wishes to send her personal gratitude to you and good luck in the Sector. Is there anything else I could help you with?""",,
CMSNTextChangeMind_uaf,CMSNTextChangeMind,"$faction.id == uaf
$id == uaf_niaauroria",,"""Understandable, this option would remain open for you. Should you ever return in foreseeable future - of course.""",,
CMSNResignAskToConfirm_uaf,CMSNResignAskToConfirm,"$faction.id == uaf
$id == uaf_niaauroria",,"""Are you sure, Captain $playerName? Not everyone have the privilege to come up this far. The Royal Navy won't take this lightly and your privilege access will be stripped and limited.""",,
CMSNResignConfirmed_uaf,CMSNResignConfirmed,"$faction.id == uaf
$id == uaf_niaauroria",,"""I see.. what a shame. Your resignation is confirmed. Good luck and fair seas.""",,
CMSNResignCancelled_uaf,CMSNResignCancelled,"$faction.id == uaf
$id == uaf_niaauroria",,"""I'm glad you've changed your mind. If you haven't given up on us. So will we.""",,
,,,,,,
uafkeycard_turnInOption_General,PopulateOptions,"$isPerson score:100
UAFKeycard personCanAcceptKeys",FireBest DisableTurnInUAFKeycardOptionIfNeeded,,"10:UAFKeycard_startTurnIn:""I'd like to turn in these UAF Keycards that I've acquired...""",
uafkeycard_disableTurnInOption,DisableTurnInUAFKeycardOptionIfNeeded,!UAFKeycard playerHasKeys,"SetTooltip UAFKeycard_startTurnIn ""You do not have any Keycard in your posession.""
SetEnabled UAFKeycard_startTurnIn false",,,
uafkeycard_turnInOptionSelGeneric,DialogOptionSelected,$option == UAFKeycard_startTurnIn,FireAll PopulateUAFKeycardTurnInOptions,"""A fascinating offer. Why, if one of the major factions caught you with these, they might just seize them outright. Tell you what - I'll do you a favour and give you a good price.""",,
uafkeycard_playerHasOption,PopulateUAFKeycardTurnInOptions,,,,0:UAFKeycard_selectKeys:Select Keycard to turn in,
uafkeycard_turnInOptionSelected,DialogOptionSelected,$option == UAFKeycard_selectKeys,UAFKeycard selectKeys,,,
uafkeycard_turnInResponseDefault,UAFKeycardTurnedIn,,FireAll PopulateOptions,$PersonRank $personLastName thanks you and the conversation moves on to other matters.,,
uafkeycard_neverMindOption,PopulateUAFKeycardTurnInOptions,,,,"100:UAFKeycard_neverMind:""Never mind, I don't actually have any.""",
