id,variant,tags,tier,rarity,fleet pts,op cost,formation,range,attackRunRange,attackPositionOffset,num,role,role desc,refit,base value,,,,,,,,,,,,,number
uaf_wing_minime,uaf_wing_minime_drone,"interceptor, mid, rapid_reform, no_sell, no_drop, drone",0,0.3,8,2,V,1500,100,100,2,INTERCEPTOR,Defense Drone,6,6500,,,,,,,,,,,,,100
uaf_drone_ribut,uaf_drone_ribut_sniper,"fighter, mid, no_sell, no_drop, drone, stay_in_front_of_ship",0,,5,0,CLAW,1000,,,2,SUPPORT,Drone,10,10000,,,,,,,,,,,,,100
uaf_drone_sokhuri,uaf_drone_sokhuri_protector,"fighter, mid, no_sell, no_drop, drone, stay_in_front_of_ship",0,,7,0,CLAW,1000,,,1,SUPPORT,Drone,10,10000,,,,,,,,,,,,,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uaf_wing_ai_petunia,uaf_wing_ai_petunia_hvb,"uaf_fighter_bp, uaf_automata_rare_bp, bomber, bomber7, rd_no_extra_craft, mid, leader_no_swarm, wingmen_no_swarm, auto_fighter",2,0.8,8,20,BOX,7500,2300,500,1,BOMBER,Super Heavy Bomber,40,30000,,,,,,,,,,,,,100
uaf_wing_ai_alcea,uaf_wing_ai_alcea_mb,"uaf_fighter_bp, uaf_automata_rare_bp, bomber, bomber3, mid, match_leader_facing, stay_in_front_of_ship, auto_fighter",2,0.6,6,15,CLAW,5000,2300,500,3,BOMBER,Medium Bomber,20,8000,,,,,,,,,,,,,100
uaf_wing_ai_rosea,uaf_wing_ai_rosea_lb,"uaf_fighter_bp, uaf_ai_ship_bp, bomber, bomber2, mid, match_leader_facing, stay_in_front_of_ship, auto_fighter",1,0.3,5,8,CLAW,5000,2300,600,4,BOMBER,Light Bomber,15,8000,,,,,,,,,,,,,100
uaf_wing_ai_parang,uaf_wing_ai_parang_attacker,"uaf_fighter_bp, uaf_ai_ship_bp, bomber, bomber2, mid, auto_fighter",1,,3,13,V,4000,1500,750,3,BOMBER,Rocket Attacker,15,7000,,,,,,,,,,,,,10
uaf_wing_ai_exoscar_ii,uaf_wing_ai_exoscar_ii_torpedo,"uaf_fighter_bp, uaf_ai_ship_bp, bomber, bomber4, mid, leader_no_swarm, wingmen_no_swarm, auto_fighter",2,0.8,8,14,BOX,4000,1700,200,2,BOMBER,Torpedo Bomber,20,7500,,,,,,,,,,,,,100
uaf_wing_ai_nekonyan,uaf_wing_ai_nekonyan_multirole,"uaf_fighter_bp, uaf_ai_ship_bp, interceptor, interceptor4, mid, leader_no_swarm, wingmen_no_swarm, auto_fighter",2,0.8,8,12,V,4000,400,,4,INTERCEPTOR,Multirole Fighter,20,16500,,,,,,,,,,,,,100
uaf_wing_ai_menascar_ii,uaf_wing_ai_menascar_ii_nsp,"uaf_fighter_bp, uaf_automata_rare_bp, interceptor, interceptor3, rd_no_extra_craft, mid, attack_at_an_angle, independent_of_carrier, leader_no_swarm, auto_fighter",3,1,15,24,V,7500,2000,500,1,BOMBER,Nuclear Bomber,45,40000,,,,,,,,,,,,,100
uaf_wing_ai_revere,uaf_wing_ai_revere_standard,"uaf_fighter_bp, uaf_ai_ship_bp,interceptor, interceptor3, high, auto_fighter",1,0.5,3,6,V,4000,400,,4,INTERCEPTOR,Light Gunfighter,10,15000,,,,,,,,,,,,,100
uaf_wing_ai_naga,uaf_wing_ai_naga_adv,"uaf_fighter_bp, uaf_automata_rare_bp, interceptor5, high, mid, rapid_reform, leader_no_swarm, wingmen_no_swarm, auto_fighter",2,1,12,18,V,5000,500,,3,INTERCEPTOR,Advanced Attacker,20,24000,,,,,,,,,,,,,100
uaf_wing_ai_puterakamu,uaf_wing_ai_puterakamu_torpedo,"uaf_fighter_bp, uaf_automata_rare_bp, bomber, bomber5, rd_no_extra_craft, mid, independent_of_carrier, rd_no_extra_craft, leader_no_swarm, auto_fighter",2,1,15,28,V,7500,1500,500,1,BOMBER,Advanced Torpedo Bomber,45,40000,,,,,,,,,,,,,100
uaf_wing_ai_puterisaya,uaf_wing_ai_puterisaya_gunship,"uaf_fighter_bp, uaf_automata_rare_bp, fighter, fighter5, rd_no_extra_craft, mid, independent_of_carrier, rd_no_extra_craft, leader_no_swarm, auto_fighter",2,1,15,25,V,7500,400,,1,FIGHTER,Hunter Killer Gunship,45,40000,,,,,,,,,,,,,100
uaf_wing_ai_veronica,uaf_wing_ai_veronica_hvattacker,"uaf_fighter_bp, uaf_automata_rare_bp, fighter, fighter8, stay_in_front_of_ship, mid, auto_fighter",2,0.8,10,20,CLAW,5000,500,-400,2,FIGHTER,Heavy Attacker,30,13000,,,,,,,,,,,,,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
uaf_wing_m_pengawas,uaf_wing_m_pengawas_guardian,"uaf_fighter_bp, uaf_military_rare_bp, interceptor, interceptor5, rd_no_extra_craft, mid, attack_at_an_angle, independent_of_carrier, rd_no_extra_craft, leader_no_swarm, auto_fighter",2,0.8,15,22,V,7500,2000,500,1,INTERCEPTOR,Air Defense Gunship,40,20000,,,,,,,,,,,,,100
uaf_wing_m_hyacinth_ii,uaf_wing_m_hyacinth_ii_nuke,"uaf_fighter_bp, uaf_military_rare_bp, bomber, bomber6, rd_no_extra_craft, mid, leader_no_swarm, wingmen_no_swarm, auto_fighter",3,1,15,24,BOX,7500,2000,500,1,BOMBER,Nuclear Bomber,45,40000,,,,,,,,,,,,,100
uaf_wing_m_neoscar,uaf_wing_m_neoscar_gunship,"uaf_fighter_bp, uaf_military_rare_bp, interceptor, interceptor3, rd_no_extra_craft, mid, attack_at_an_angle, independent_of_carrier, leader_no_swarm, auto_fighter",2,0.8,15,25,V,7500,800,300,1,INTERCEPTOR,Assault Gunship,40,35000,,,,,,,,,,,,,100
uaf_wing_m_noversky,uaf_wing_m_noversky_hvattacker,"uaf_fighter_bp, uaf_military_rare_bp, fighter, fighter8, stay_in_front_of_ship, mid, auto_fighter",2,0.8,10,20,CLAW,5000,500,-400,2,FIGHTER,Heavy Attacker,30,13000,,,,,,,,,,,,,100
uaf_wing_m_menascar,uaf_wing_m_menascar_torpedo,"uaf_fighter_bp, uaf_military_rare_bp, interceptor, interceptor3, rd_no_extra_craft, mid, attack_at_an_angle, independent_of_carrier, leader_no_swarm, auto_fighter",2,0.8,12,22,V,7500,1500,500,1,BOMBER,Torpedo Gunship,45,30000,,,,,,,,,,,,,
uaf_wing_m_hyacinth,uaf_wing_m_hyacinth_hvb,"uaf_fighter_bp, uaf_military_rare_bp, bomber, bomber6, rd_no_extra_craft, mid, leader_no_swarm, wingmen_no_swarm, stay_in_front_of_ship, auto_fighter",3,1,8,24,BOX,7500,2000,500,1,BOMBER,Super Heavy Bomber,40,40000,,,,,,,,,,,,,100
uaf_wing_m_sakurai,uaf_wing_m_sakurai_mb,"uaf_fighter_bp, uaf_standard_rare_bp, bomber, bomber3, mid, match_leader_facing, stay_in_front_of_ship, auto_fighter",2,0.6,6,15,CLAW,5000,2000,500,3,BOMBER,Medium Bomber,20,8000,,,,,,,,,,,,,100
uaf_wing_m_hibiscus,uaf_wing_m_hibiscus_lb,"uaf_fighter_bp, uaf_ship_bp, bomber, bomber2, mid, match_leader_facing, stay_in_front_of_ship, auto_fighter",1,0.3,5,8,CLAW,5000,2000,600,4,BOMBER,Light Bomber,15,7250,,,,,,,,,,,,,100
uaf_wing_m_keris,uaf_wing_m_keris_attacker,"uaf_fighter_bp, uaf_m_ship_bp, bomber, bomber2, mid, auto_fighter",1,,3,13,V,4000,1500,750,3,BOMBER,Rocket Attacker,15,7000,,,,,,,,,,,,,10
uaf_wing_m_exoscar,uaf_wing_m_exoscar_torpedo,"uaf_fighter_bp, uaf_m_ship_bp, bomber, bomber4, mid, leader_no_swarm, wingmen_no_swarm, auto_fighter",2,0.8,8,14,BOX,4000,1700,200,2,BOMBER,Torpedo Bomber,20,7500,,,,,,,,,,,,,100
uaf_wing_m_superaria,uaf_wing_m_superaria_multirole,"uaf_fighter_bp, uaf_m_ship_bp, interceptor, interceptor4, mid, rapid_reform, auto_fighter",1,0.8,8,12,V,3000,400,,4,INTERCEPTOR,Multirole Fighter,15,14000,,,,,,,,,,,,,100
uaf_wing_m_aria,uaf_wing_m_aria_standard,"uaf_fighter_bp, uaf_ship_bp, uaf_ai_ship_bp, interceptor, interceptor3, high, mid, rapid_reform, auto_fighter",1,0.6,3,6,V,4000,400,,4,INTERCEPTOR,Light Gunfighter,10,6500,,,,,,,,,,,,,100
uaf_wing_m_forlorn,uaf_wing_m_forlorn_heavy,"uaf_fighter_bp, uaf_military_rare_bp, interceptor, interceptor5, high, mid, rapid_reform, leader_no_swarm, wingmen_no_swarm, auto_fighter",2,1,12,18,V,5000,500,,3,INTERCEPTOR,Heavy Fighter,18,24000,,,,,,,,,,,,,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,
