id,type,text1,text2,text3,text4,text5,notes
#WEAPONS,,,,,,,
uaf_ivory,WEAPON,"General purpose naval gun, loaded with high explosive rounds. Perfect for dealing with armored targets.",Assault,,,,
uaf_ivory_triple,WEAPON,"General purpose naval gun, loaded with high explosive rounds. Perfect for dealing with armored targets with its higher rate of fire.",Assault,,,,
uaf_ivory_shotgun,WEAPON,"A collaboration with an undisclosed partner, this variant of the Ivory weapon platform disperses bursts of cluster munitions, saturating the targeted area in ballistic shells, leaving no room to maneuver in areas directly at its fore. Meant to target pirate frigates and destroyers, its host ship, the Procrastria, is excellent as an escort vessel for patrols and convoys.",Assault,,,,
uaf_medlav_dual,WEAPON,"General purpose naval gun, it fires disruptive kinetic rounds designed to suppress enemy shields and weapons, but it doesn't do well against well armored targets.",Assault,,,,
uaf_medlav_quad,WEAPON,"Reliable naval gun, enhanced with additional barrels for greater firepower at the cost of more flux generation.",Assault,,,,
uaf_hikone_quad,WEAPON,"Standard medium caliber autocannon created with affordability and versatility in mind. It is a weaker and smaller version of the pre-existing Medlev series, designed to provide supporting fire. It's relatively low caliber for midsized autocannons makes it ideal for punching through frigates and destroyers, but struggles reaching vital subsystems on any larger ships.",Suppression,,,,
uaf_hikone_ii_quad,WEAPON,"Standard medium caliber autocannon created with affordability and versatility in mind. It is a weaker and smaller version of the pre-existing Medlev series, designed to provide supporting fire. While it does fire a larger caliber round, it still isn't enough to effectively harm larger ships. It is, however, significantly more deadly against smaller escort ships like destroyers and frigates.",Suppression,,,,
uaf_shimata_155_cn,WEAPON,"Built using commonly available artillery components from the Yokata howitzer, the Shimata was originally designed to be used as a static ground defense weapon. The Auroran Navy quickly saw its potential as a naval weapon due to how effective and readily available it was.",Assault,,,,
uaf_shimata_300_cn,WEAPON,"The successful deployment of the smaller 155mm variant allowed the introduction of the next upgrade, the 300mm version. The caliber of choice may seem odd to some, but it is a necessary compromise in order to keep the weapon relatively cheap to produce and use. It would commonly be installed as part of ground defense system, overwatching the skies for any potential invasion or on reserve ships.",Assault,,,,
uaf_pd_reina,WEAPON,"The standard general purpose autocannon, its rapid fire rate and excellent tracking capabilities make it a suitable defensive weapon.",Point Defense,,,,
uaf_pd_reina_ii,WEAPON,"Dual purpose twin-linked heavy autocannon, unlike the lighter variant. The Reina II is capable of tearing through shield with its kinetic rounds.",Point Defense,,,,
uaf_claris_cn,WEAPON,"The standard general purpose autocannon, its high caliber kinetic rounds will suppress shields and knock out weapon systems.",Strike,,,,
uaf_cantata_cn,WEAPON,"The standard general purpose autocannon, its high caliber high explosive rounds will make a short work out of anything that's not bigger than a frigate.",Strike,,,,
uaf_weiss_flk,WEAPON,"The standard twin-linked flak autocannon, performs well against missiles and fighters but struggles against anything bigger than a corvette.",Point Defense,,,,
uaf_weiss_ii_flk,WEAPON,The enlarged version of standard Weiss autocannon. It boasts slightly better performance against missiles and fighters. Its extended barrels also slightly increase its range.,Point Defense,,,,
uaf_weiss_iii_flk,WEAPON,Weiss III is the largest of the reliable and thoroughly tested anti-air defense cannon series. It is equipped with experimental beehive shells that disperse incendiary shrapnel in a cone.,Point Defense,,,,
uaf_tona_i,WEAPON,"This small, standard railgun may not pack the biggest punch in the entirety of Auroran arsenal, but with enough of these no shield will stay standing.",Suppression,,,,
uaf_tona_ii,WEAPON,"Medium sized design of widely used railgun, a suitable weapon to suppress the enemy with constant barrage of kinetic rounds while staying at safe range.",Suppression,,,,
uaf_tona_iii,WEAPON,"The biggest of the Tona railgun series, this huge weapon will devastate enemy shields and temporarily disable their weapons. However, such firepower comes at the cost of a high amount of flux generated per shot, and slow fire rate.",Suppression,,,,
uaf_tona_iv,WEAPON,"The final evolution of the Tona railgun series before it turned into the eventual Phenex system, this huge weapon will devastate enemy shields and temporarily disable their weapons. However, such firepower comes at the cost of a high amount of flux generated per shot, and slow fire rate.",Suppression,,,,
uaf_sentry_gun,WEAPON,"The final evolution of the Tona railgun series before it turned into the eventual Phenex system, this huge weapon will devastate enemy shields and temporarily disable their weapons. However, such firepower comes at the cost of a high amount of flux generated per shot, and slow fire rate.",Suppression,,,,
uaf_cyrexa,WEAPON,"Reliable Cyrexa modified with an additional barrel, for even faster rate of fire and even greater shield bursting potential.",Strike,,,,
uaf_cyrexa_triple,WEAPON,The standard capital cannon. It masterfully mixes a decent rate of fire with some of the largest disruptive kinetic shells available to the UAF.,Strike,,,,
uaf_cyrexa_single_experimental,WEAPON,"A single-barreled Cyrexa, modified to be as light as possible while preserving its mighty firepower. This gun is rumored to be mounted on some sort of experimental fighter…",Experimental,,,,
uaf_phenex_lrg,WEAPON,"An experimental weapon specifically designed for Solvernia. This triple barreled, high caliber railgun fires disruptive, high-penetration, rocket-boosted shells which make it highly effective against everything but the smallest, nimblest targets.",Experimental,,,,
uaf_triyia_pdx,WEAPON,"An experimental Close-In Weapon System armed with quadruple rotary autocannons, capable of intercepting incoming missiles and strikecraft with devastating barrage of high explosive fragmentation rounds.",Experimental Point Defense,,,,
uaf_herexa,WEAPON,The standard capital cannon. It fires high explosive rounds that are guaranteed to swiftly dispose of the enemy armor.,Strike,,,,
uaf_herexa_triple,WEAPON,The standard capital cannon. It fires high explosive rounds that are guaranteed to swiftly dispose of the enemy armor at higher rate of fire.,Strike,,,,
uaf_herexa_autoloader,WEAPON,The standard capital cannon installed on the Nonayen class Battlecruiser. It fires high explosive rounds that are guaranteed to swiftly dispose of the enemy. Its built-in nature allows greater rate of fire and lowered flux generation thanks to its unique revolver reloading system.,Strike,,,,
uaf_penulisa_acx,WEAPON,"Dual rotary autocannons armed with high caliber, high explosive incendiary rounds, designed specifically to break down the enemy armor and melt them down with hail of lead.",Experimental Strike,,,,
uaf_downstream_xlc,WEAPON,"A powerful air burst cannon capable of dealing with both small srikecraft and large capital ships, the Downstream excels at tearing through armor, hull and weapons alike. The closer ranges is a small price to pay to be able to control large swathes of open space.",Strike,,,,
uaf_axia_type_i,WEAPON,"The Axia series are the mass produced variants of a much bigger and experimental positron shock cannon project, the Garuda. This is the smallest of the three, typically installed on escort ships.",Experimental,,,,
uaf_axia_type_ii,WEAPON,"The Axia series are the mass produced variants of a much bigger and experimental positron shock cannon project, the Garuda. The medium version is ideal for cruisers and secondary for capital ships.",Experimental,,,,
uaf_axia_type_iii,WEAPON,"The Axia series are the mass produced variants of a much bigger and experimental positron shock cannon project, the Garuda. The largest version for capital ships or ones with the largest mount.",Experimental,,,,
uaf_garuda_808_xlc,WEAPON,"The Garuda 808 'Experimental Large Cannon' was the first of its kind. A mammoth undertaking that involved deep research and development into the mysteries of Persean advanced weaponry. It was developed alongside the Novaeria project and was meant to be installed on the flagship as her main armament. The raw volatile energy it produced continuously when charging proved to be too dangerous to store, forcing it to vent by channeling them into the barrel, thus creating high intensity ray of beam. Once fully charged, it will unleash powerful antielectron projectiles.",Experimental,,,,
uaf_garuda_808_xlc_bi,WEAPON,"The Garuda 808 'Experimental Large Cannon' was the first of its kind. A mammoth undertaking that involved deep research and development into the mysteries of Persean advanced weaponry. It was developed alongside the Novaeria project and was meant to be installed on the flagship as her main armament. The raw volatile energy it produced continuously when charging proved to be too dangerous to store, forcing it to vent by channeling them into the barrel, thus creating high intensity ray of beam. Once fully charged, it will unleash powerful antielectron projectiles.",Experimental,,,,
uaf_rotan_452_cn,WEAPON,"The standard capital cannon that can be found on artillery light cruisers, it doesn't strike hard or deep like its counterparts but can still be viable once the enemy's hull is vulnerable to claw into.",Finisher,,,,
uaf_deco_mg,WEAPON,"The 'Decorative' is a low cost, low caliber auxillary weapon system mainly used for point defense. It is often underestimated by friendly and foe alike but some may find it strategically viable when used correctly.",,,,,
,,,,,,,
#WEAPONS ENERGY,,,,,,,
uaf_merupaka_epd,WEAPON,"Merupaka I is a heavy dual purpose autocannon intended to be used by the Automata forces. It fires energy infused rounds in rapid burst which makes it a jack-of-all-trades in general, but also master of none as it doesn't specialize in anything in specific.",Point Defense,,,,
uaf_merupaka_ii_epd,WEAPON,"Merupaka II is a heavy dual purpose autocannon intended to be used by the Automata forces. It fires energy infused rounds in rapid burst which makes it a jack-of-all-trades in general, but also master of none as it doesn't specialize in anything in specific.",Point Defense,,,,
,,,,,,,
uaf_edge_type_i,WEAPON,"The Edge series are the first of its kind to ever enter mass production under request of the Automata Division. Each gun from Edge series is equipped with an experimental mechanism that allows them to convert the heat generated by the ship's reactor into flux-infused rounds, dealing a higher amount of disruptive damage while also helping with the flux ventilation, granted it's being used under the right circumstances. This smallest variant fires in bursts.",Disruptive Assault,,,,
uaf_edge_type_ii,WEAPON,"The Edge series are the first of its kind to ever enter mass production under request of the Automata Division. Each gun from Edge series is equipped with an experimental mechanism that allows them to convert the heat generated by the ship's reactor into flux-infused rounds, dealing a higher amount of disruptive damage while also helping with the flux ventilation, granted it's being used under the right circumstances. This medium variant fires continuously.",Disruptive Assault,,,,
uaf_edge_type_iii,WEAPON,"The Edge series are the first of its kind to ever enter mass production under request of the Automata Division. Each gun from Edge series is equipped with an experimental mechanism that allows them to convert the heat generated by the ship's reactor into flux-infused rounds, dealing a higher amount of disruptive damage while also helping with the flux ventilation, granted it's being used under the right circumstances. This large variant fires in bursts.",Disruptive Assault,,,,
uaf_edge_type_iv,WEAPON,"The Edge series are the first of its kind to ever enter mass production under request of the Automata Division. Each gun from Edge series is equipped with an experimental mechanism that allows them to convert the heat generated by the ship's reactor into flux-infused shells, dealing a higher amount of disruptive damage while also helping with the flux ventilation, granted it's being used under the right circumstances. This unique super capital variant fires in bursts of two rounds",Disruptive Assault,,,,
uaf_catun_ii_erg,WEAPON,"Catun railgun series are an energy-conversion of the pre-existing Tona railguns. Compared to Tona it lacks the trademark penetration capability since the shell was changed to be fitted with a lighter, energy-infused warhead. Smaller, more advanced munitions allow it to fire slightly faster than the predecessor and to destroy targets quicker, as long as the shell makes it through enemy armor.",Strike,,,,
uaf_catun_iii_erg,WEAPON,"Catun railgun series are an energy-conversion of the pre-existing Tona railguns. Compared to Tona it lacks the trademark penetration capability since the shell was changed to be fitted with a lighter, energy-infused warhead. Smaller, more advanced munitions allow it to fire slightly faster than the predecessor and to destroy targets quicker, as long as the shell makes it through enemy armor.",Strike,,,,
uaf_kanshee_sxc,WEAPON,Kanshee is an alternative choice for the Automata forces. It sacrificed rate of fire in return for a linked salvo of devasting highly concentrated energy infused high explosive shells capable of tearing through armor or shield alike.,Strike,,,,
uaf_kanshee_ii_sxc,WEAPON,Kanshee is an alternative choice for the Automata forces. It sacrificed rate of fire in return for a linked salvo of devasting highly concentrated energy infused high explosive shells capable of tearing through armor or shield alike. An additional barrel was installed in this version for extra firepower.,Strike,,,,
uaf_cyrexa_ii_sxc,WEAPON,"Next generation upgrade to the existing Cyrexa weapon system, its improved fire control and recoil dampener systems allow it to fire slightly faster than its predecessor while also enjoying the brand new energy-infused shells at the cost of higher flux generation.",Strike,,,,
uaf_cyrexa_ii_d_sxc,WEAPON,"An alternative to the Cyrexa II weapon system, this one boasts higher caliber and generates greater amount of flux for a bigger punch and higher projectile speed. Its improved fire control and recoil dampener systems allow it to fire slightly faster than its predecessor while also enjoying the brand new energy-infused shells.",Strike,,,,
uaf_precisia_dual,WEAPON,"Precisia was the Federation's introduction into energy weaponry. It fires in two bursts, and uses its advanced targeting systems to strike the weak spots of the enemy ships with unparalleled accuracy.",Disruptive Strike,,,,
uaf_enyria_pdx,WEAPON,"The next step in the Triyia series of point defense, the Enyria boasts the brand-new energy tech developed by the Automata Expeditionary Division. The Enyria fires in short bursts in order to protect the weapon 
both from overheating and potentially frying itself from its own EMP generator.",Experimental Point Defense,,,,
,,,,,,,
uaf_eyeseau_radar,WEAPON,"While technically considered a weapon under UAF law, to the point it requires interfacing with fire control systems, the Eyeseau Radar is not capable of damaging enemy ships. It is a support tool.",Cosmetic,,,,
,,,,,,,
#WEAPONS MISSILE,,,,,,,
uaf_vocal_s_srm,WEAPON,Rapid-firing missile system designed to overwhelm the enemy with pure numbers. It also comes with decent tracking capabilities which allows it to intercept incoming strikecraft as well.,Strike,,,,
uaf_vocal_m_srm,WEAPON,Rapid-firing missile system designed to overwhelm the enemy with pure numbers. It also comes with decent tracking capabilities which allows it to intercept incoming strikecraft as well.,Strike,,,,
uaf_vocal_l_srm,WEAPON,Rapid-firing missile system designed to overwhelm the enemy with pure numbers. It also comes with decent tracking capabilities which allows it to intercept incoming strikecraft as well.,Strike,,,,
uaf_clemente_base,WEAPON,"Standard anti-ship missile, packed with high explosive filler to penetrate through armored targets.",Finisher,,,,
uaf_clemente_nakiha,WEAPON,"Standard anti-ship missile, packed with high explosive filler to penetrate through armored targets.",Finisher,,,,
uaf_clemente_s_mrm_double,WEAPON,"Standard anti-ship missile, packed with high explosive filler to penetrate through enemy armor. This one is mounted on a self-reloading pod that allows for continuous rapid fire.",Finisher,,,,
uaf_typhoon_l_sasm,WEAPON,"Large unguided torpedo armed with a fragmentation flechette warhead. While it's immensely powerful as a tool to finish off slow or immobilized ships with exposed hulls thanks to its deadly fragmentation payload, it struggles against armor and shields. This version is installed on a self-reloading turret.",Finisher,,,,
