name,id,tier,rarity,base value,range,damage/second,damage/shot,emp,impact,turn rate,OPs,ammo,ammo/sec,reload size,type,energy/shot,energy/second,chargeup,chargedown,burst size,burst delay,min spread,max spread,spread/shot,spread decay/sec,beam speed,proj speed,launch speed,flight time,proj hitpoints,hints,tags,groupTag,tech/manufacturer,for weapon tooltip>>,primaryRoleStr,speedStr,trackingStr,turnRateStr,accuracyStr,customPrimary,customPrimaryHL,customAncillary,customAncillaryHL,noDPSInTooltip,number
#SHIP WEAPONS (CURRENT),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,#SHIP WEAPONS (CURRENT),,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ivory 254 Support,uaf_ivory,0,0,1500,900,,140,,30,12,10,10,1.3,2,HIGH_EXPLOSIVE,120,,0,0.75,2,0.3,0,8,0.75,1,,700,,,300,,"he10, uaf_weapon_bp, uaf_ship_bp",,United Aurora Federation,,Anti Armor Cannon,,,,,"Has long range and good accuracy, at cost of slow rate of fire. Suitable against armored targets and exposed hull.",armored targets | exposed hull,,,,1
Ivory 254 Rapid,uaf_ivory_triple,0,0,2400,800,,140,,30,12,12,,,,HIGH_EXPLOSIVE,135,,0,1.4,3,0.15,0,12,2,1.75,,800,,,300,,"he10, uaf_weapon_bp, uaf_m_ship_bp",,United Aurora Federation,,Anti Armor Cannon,,,,,Rapid fire but at cost of wide weapon recoil and spread. Suitable against armored targets and exposed hull.,armored targets | exposed hull,,,,1
Medlav 254 Support,uaf_medlav_dual,0,0,1500,900,,140,,30,12,10,10,1.3,2,KINETIC,120,,0,0.75,2,0.3,0,8,0.75,1,,700,,,300,,"kinetic10, uaf_weapon_bp, uaf_ship_bp",,United Aurora Federation,,Anti Shield Cannon,,,,,"Has long range and good accuracy, at cost of slow rate of fire. Suitable against shielded targets.",shielded targets,,,,1
Medlav 254 Rapid,uaf_medlav_quad,0,0,2400,800,,140,,30,12,12,,,,KINETIC,135,,0,1.85,4,0.15,0,12,2,1.75,,800,,,300,,"kinetic10, uaf_weapon_bp, uaf_m_ship_bp",,United Aurora Federation,,Anti Shield Cannon,,,,,Rapid fire but at cost of wider weapon recoil and spread. Suitable against shielded targets.,shielded targets,,,,1
Claris 50 Cannon,uaf_claris_cn,0,0,600,600,,50,10,3,24,5,20,3,1,KINETIC,45,,0,0.25,,,0,16,3,1,,700,,,20,,"kinetic6, uaf_weapon_bp, uaf_ship_bp",,United Aurora Federation,,Anti Shield Autocannon,,,,,Identical to Cantata but with different damage type. Suitable against shielded targets.,shielded targets,,,,2
Cantata 50 Cannon,uaf_cantata_cn,0,0,600,600,,40,10,3,24,5,20,3,1,HIGH_EXPLOSIVE,30,,0,0.25,,,0,16,3,1,,700,,,20,,"he6, uaf_weapon_bp, uaf_ship_bp",,United Aurora Federation,,Anti Armor Autocannon,,,,,Identical to Claris but with different damage type. Suitable against armored targets and exposed hull.,armored targets | exposed hull,,,,2
Reina I/PD 20 MG,uaf_pd_reina,0,0,450,350,,25,,3,75,3,,,,FRAGMENTATION,2.5,,0,0.35,18,0.05,0,10,1,0.025,,800,,,10,PD,"pd6, kinetic3, SR, uaf_weapon_bp, uaf_ship_bp",,United Aurora Federation,,Point Defense Autocannon,,,,,Light caliber defensive machine gun loaded with fragmentation rounds. Suitable against fighters and missiles.,fighters | missiles,,,,0.5
Reina II/PD 30 HMG,uaf_pd_reina_ii,0,0,500,450,,20,,5,55,4,,,,KINETIC,6.5,,0,0.15,,,0,8,1,5,,700,,,10,"PD, ANTI_FTR","pd5, kinetic4, SR, uaf_weapon_bp, uaf_ship_bp",,United Aurora Federation,,Heavy Point Defense Autocannon,,,,,Heavy caliber machine guns capable of taking down fighters and shields.,fighters | shields,,,,0.5
Yokata 155 Howitzer,uaf_yokata_155_cn,0,0,750,600,,125,,30,30,3,10,0.6,3,HIGH_EXPLOSIVE,135,,0,1.2,1,,0,10,2,4,,600,,,150,,"he4, SR, uaf_weapon_bp, uaf_ship_bp",,United Aurora Federation,,Anti Armor Howitzer,,,,,"Secondary anti-ship howitzer, it has slow projectile speed but its effective against armored targets and exposed hull.",armored targets | exposed hull,,,,
Decorative 12.7 MG,uaf_deco_mg,0,0,200,325,,20,,1,100,1,50,2.75,5,FRAGMENTATION,2,,0,2,25,0.05,0,10,0.2,,,800,,,10,PD,"pd1, SR, uaf_weapon_bp, uaf_ship_bp",,United Aurora Federation,,Backup Point Defense,,,,,"Backup point defense weapon, cost efficient but less potent than the alternatives.",cost efficient | less potent,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Racun APS Pod ,uaf_racun_pod,0,0,300,200,,25,10,10,45,2,200,3,50,FRAGMENTATION,2,,0,6,25,,20,20,20,0,,800,,,20,PD,"pd2, uaf_weapon_bp, uaf_ship_bp",,United Aurora Federation,,Active Protection System,,,,,Active anti-missile defense system with limited ammunition. Only effective against missiles.,limited ammunition | missiles,,,,2
Flare Launcher Pod,uaf_flair_pod,0,0,300,500,,10,,15,25,2,250,1,100,ENERGY,2,,0,10,20,0.1,60,60,0,0,,200,300,4,1,PD,"pd2, uaf_weapon_bp, uaf_ship_bp",,United Aurora Federation,,Flare Launcher,Fast,Poor,,,Active anti-missile defense system with limited ammunition. Only effective when used to disrupt missile guidance.,limited ammunition | missile guidance,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Catun II E-Railgun Dual,uaf_catun_ii_erg,0,0,3250,1000,,225,150,80,8,12,,,,ENERGY,320,,0.5,1.4,1,,0,0.5,0.1,0.1,,1100,,,300,,"energy12, uaf_ai_ship_bp, uaf_weapon_bp",,United Aurora Federation,,Multi Purpose Dual Railgun,,,,,"Has long range, good accuracy and high rate of fire at cost of low damage. Decent against shield and armor. It will deal extra 40 fragmentation damage on impact if projectile hits exposed hull.",shield and armor | 40 fragmentation | projectile hits exposed hull.,,,,1
Catun III E-Railgun Dual,uaf_catun_iii_erg,0,0,8500,1000,,375,250,150,3,24,,,,ENERGY,480,,0.5,1.8,1,,0,0.5,0.1,0.1,,1100,,,300,STRIKE,"energy17, uaf_automata_rare_bp, uaf_weapon_bp",,United Aurora Federation,,Multi Purpose Dual Railgun,,,,,"Has long range, good accuracy and high rate of fire at cost of low damage. Decent against shield and armor. It will deal extra 40 fragmentation damage on impact if projectile hits exposed hull.",shield and armor | 40 fragmentation | projectile hits exposed hull.,,,,1
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
